"filename", "language", "MySQL SQL", "Database", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\elections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 1, 20
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\faqs\custom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 47, 9, 128
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\faqs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 10, 8, 51
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 4, 37
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\logout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\(users)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\candidateList\route.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 4, 42
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\electionList\route.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 4, 45
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\admin\voterList\route.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 5, 43
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 14, 9, 94
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\auth\register\route.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\candidates\route.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 4, 22
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\custom-query\route.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\elections\result\[electionID]\route.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\elections\route.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 5, 34
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\loggedinUser\route.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\route.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\users\[userId]\route.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\users\route.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\vote\route.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 3, 26
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\voter\route.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
